156,MF,?,,,26,,107.84658658445211
157,MF,[1,8s],,,27,108.40658616862063,
158,MF,ah,,,27,,
159,MF,,,,,27,,111.00658423797441
160,MF,jo,ja,,28,111.00658423797441,
161,MF,,,,,28,,112.59324972645186
162,MF,dazwischen/,,,29,112.59324972645186,113.59324898389562
163,MF,tschuldige,entschuldige,,30,113.59324898389562,
164,MF,nach,,,30,,
165,MF,maine,Maine,,30,,
166,MF,war,,,30,,
167,MF,ich,,,30,,
168,MF,noch,,,30,,
169,MF,[2s],,,30,,
170,MF,zirka,,,30,,
171,MF,eineinhalb,,,30,,
172,MF,jahre,Jahre,,30,,
173,MF,in,,,30,,
174,MF,wien,Wien,,30,,
175,MF,,,,,30,,120.5865771242857
176,MF,ein/,,,31,120.5865771242857,
177,MF,eineinhalb,,,31,,
178,MF,jahre,,,31,,
179,MF,in,,,31,,
180,MF,wien,Wien,,31,,
181,MF,genau,,,31,,
182,MF,?,,,31,,123.01324198901592
183,MF,dann,,,32,123.01324198901592,
184,MF,eben,,,32,,
185,MF,kärnten,Kärnten,,32,,
186,MF,wieder,,,32,,
187,MF,ein,,,32,,
188,MF,jahr,Jahr,,32,,
189,MF,,,,,32,,125.29324029598769
190,MF,und,,,33,125.29324029598769,
191,MF,dann,,,33,,
192,MF,den,,,33,,
193,MF,rest,Rest,,33,,
194,MF,der,,,33,,
195,MF,zeit,Zeit,,33,,
196,MF,von/,,,33,,
197,MF,von,,,33,,
198,MF,damals,,,33,,
199,MF,bis,,,33,,
200,MF,jetzt,,,33,,
201,MF,nur,,,33,,
202,MF,in,,,33,,
203,MF,wien,Wien,,33,,
204,MF,.,,,33,,130.8799028142402
205,MF,nur,,,34,136.25989881928768,
206,MF,i-m,in,,34,,
207,MF,einundzwanzigsten,dem,,34,,
208,MF,oder,,,34,,
209,MF,i-m,,,34,,
210,MF,zweiundzwanzigsten,in,,34,,
211,MF,bezirk,dem,,34,,
212,MF,.,,,34,,139.35322985564707
213,MF,volksschule,Volksschule,,35,145.29989210657936,
214,MF,,,,,35,,
215,MF,hauptschule,Wien,,35,,
216,MF,wien,Stammersdorf,,35,,
217,MF,stammersdorf,Doktor,,35,,
218,MF,{doktor,Skala,,35,,
219,MF,skala,Straße,,35,,
220,MF,straße},,,35,,
221,MF,?,,,35,,149.44655569411282
222,MF,[1s],,,36,150.00655527828133,
223,MF,HTL,HTL,,36,,
224,MF,mödling,Mödling,,36,,
225,MF,,,,,36,,152.61988667106772
226,MF,ah,,,37,152.61988667106772,
227,MF,holztechnik,Holztechnik,,37,,
228,MF,?,,,37,,154.3932186876013
229,MF,in,,,38,154.3932186876013,
230,MF,mödling,Mödling,,38,,
231,MF,niederösterreich,Niederösterreich,,38,,
232,MF,,,,,38,,156.3932186876013
233,MF,ah,,,39,156.3932186876013,
234,MF,universität,Universität,,39,,
235,MF,für,,,39,,
236,MF,bodenkultur,Bodenkultur,,39,,
237,MF,in,,,39,,
238,MF,wien,Wien,,39,,
239,MF,währing,Währing,,39,,
240,MF,?,,,39,,161.19321363821894
241,MF,sieben,,,40,162.01321302932283,
242,MF,jahre,Jahre,,40,,
243,MF,so,,,40,,
244,MF,ungefähr,,,40,,164.82654427359796
245,MF,[1s],,,41,164.82654427359796,
246,MF,ah,,,41,,
247,MF,university,University,,41,,
248,MF,of,,,41,,
249,MF,maine,Maine,,41,,
250,MF,zwei,,,41,,
251,MF,jahre/,Jahre,,41,,
252,MF,zweieinhalb,,,41,,
253,MF,jahre,Jahre,,41,,
254,MF,,,,,41,,170.4598734238645
255,MF,zwei,,,42,170.4598734238645,
256,MF,jahre,Jahre,,42,,
257,MF,drei,,,42,,171.21987285952176
258,MF,monate,Monate,,43,171.21987285952176,
259,MF,ungefähr,,,43,,
260,MF,.,,,43,,172.60653849651047
261,MF,ah,,,44,173.9865374717829,
262,MF,naja,,,44,,
263,MF,,,,,44,,
264,MF,das,,,44,,
265,MF,kann-ma,man,,44,,
266,MF,net,nicht,,44,,
267,MF,so,,,44,,
268,MF,leicht,,,44,,
269,MF,sagen,,,44,,
270,MF,,,,,44,,176.27053577578442
271,MF,das,,,45,176.27053577578442,
272,MF,war,,,45,,
273,MF,eigentlich,,,45,,
274,MF,forestry,,,45,,
275,MF,,,,,45,,177.79320131178545
276,MF,ein,,,46,177.79320131178545,
277,MF,teil,Teil,,46,,
278,MF,der,,,46,,
279,MF,forstwirtschaft,Forstwirtschaft,,46,,
280,MF,,,,,46,,179.9598663695803
281,MF,ah,,,47,180.49319930688364,
282,MF,awa,aber,,47,,
283,MF,mit,,,47,,
284,MF,holztechnologischen,,,47,,
285,MF,aspekt,Aspekt,,47,,
286,MF,oiso,also,,47,,
287,MF,,,,,47,,183.73319690100143
288,MF,an,,,48,185.73319690100143,
289,MF,der,,,48,,
290,MF,bodenkultur,Bodenkultur,,48,,
291,MF,hab,,,48,,
292,MF,ich,,,48,,
293,MF,holztechnik,Holztechnik,,48,,
294,MF,studiert,,,48,,
295,MF,.,,,48,,188.3865267789731
296,MF,noch,,,49,191.7998575777145,
297,MF,einen,,,49,,
298,MF,abschluss,Abschluss,,49,,
299,MF,,,,,49,,193.01679361100733
300,MF,der,,,50,193.01679361100733,
301,MF,fehlt,,,50,,
302,MF,noch,,,50,,
303,MF,?,,,50,,193.84652272461608
304,MF,genau,,,51,193.84652272461608,
305,MF,,,,,51,,194.33985569162166
306,MF,ah,,,52,194.33985569162166,
307,MF,lehramt,Lehramt,,52,,
308,MF,für,,,52,,
309,MF,sonderschule,Sonderschule,,52,,
310,MF,,,,,52,,196.92652043754288
311,MF,wien,Wien,,53,197.33985346395295,
312,MF,strebersdorf,Strebersdorf,,53,,
313,MF,.,,,53,,198.49318594087146
314,MF,an,,,54,198.9998522313096,
315,MF,der,,,54,,
316,MF,[1s],,,54,,
317,MF,kirchlich-pädagogischen,,,54,,
318,MF,hochschule,,,54,,
319,MF,,,,,54,,201.99318334192463
320,MF,an,,,55,203.83984863733744,
321,MF,der,,,55,,
322,MF,BOKU,,,55,,
323,MF,bin,,,55,,
324,MF,ich,,,55,,204.92651449709302
325,MF,diplomingenieur,Diplomingenieur,,56,204.92651449709302,
326,MF,für,,,56,,
327,MF,holztechnik,Holztechnik,,56,,206.42651338325865
328,MF,nik,,328,57,206.42651338325865,
329,MF,.,,,57,,206.91317968854798
330,MF,ja,,,58,210.53984366221067,
331,MF,das,,,58,,
332,MF,wor,war,,58,,
333,MF,da,der,,58,,
334,MF,ma/,%,,58,,
335,MF,master,Master,,58,,
336,MF,of,,,58,,
337,MF,science,Science,,58,,214.4265074428088
338,MF,also,,,59,214.99984035040987,
339,MF,master,Master,,59,,
340,MF,degree,Degree,,59,,
341,MF,,,,,59,,216.53317254515702
342,MF,des,das,,60,217.2731719956654,
